docname,topic,proportion
cv125_9636.txt,005,0.791506
cv125_9636.txt,020,0.117019
cv125_9636.txt,009,0.091475
cv426_10976.txt,012,0.62984
cv426_10976.txt,007,0.280419
cv426_10976.txt,021,0.089741
cv309_23737.txt,000,0.658725
cv309_23737.txt,002,0.204135
cv309_23737.txt,013,0.074678
cv309_23737.txt,034,0.062462
cv889_22670.txt,000,0.440807
cv889_22670.txt,009,0.255742
cv889_22670.txt,001,0.166489
cv889_22670.txt,024,0.128768
cv889_22670.txt,008,0.008193
cv313_19337.txt,009,0.356664
cv313_19337.txt,002,0.265944
cv313_19337.txt,005,0.172247
cv313_19337.txt,035,0.107943
cv313_19337.txt,007,0.097203
cv694_4526.txt,004,1.0
cv258_5627.txt,013,0.60292
cv258_5627.txt,002,0.397081
cv643_29282.txt,013,0.435344
cv643_29282.txt,018,0.178749
cv643_29282.txt,001,0.163567
cv643_29282.txt,024,0.130437
cv643_29282.txt,014,0.091902
cv703_17948.txt,014,0.623648
cv703_17948.txt,028,0.15724
cv703_17948.txt,019,0.133005
cv703_17948.txt,004,0.086107
cv304_28489.txt,019,0.479582
cv304_28489.txt,017,0.219117
cv304_28489.txt,016,0.174285
cv304_28489.txt,028,0.121134
cv304_28489.txt,025,0.005882
cv928_9478.txt,004,0.308947
cv928_9478.txt,003,0.302051
cv928_9478.txt,008,0.18536
cv928_9478.txt,027,0.103875
cv928_9478.txt,018,0.055303
cv928_9478.txt,030,0.044464
cv132_5423.txt,000,0.40523
cv132_5423.txt,008,0.277248
cv132_5423.txt,029,0.106588
cv132_5423.txt,024,0.105824
cv132_5423.txt,027,0.105111
cv115_26443.txt,003,0.574642
cv115_26443.txt,019,0.159609
cv115_26443.txt,001,0.100886
cv115_26443.txt,008,0.086463
cv115_26443.txt,018,0.078401
cv918_27080.txt,019,0.457019
cv918_27080.txt,005,0.192424
cv918_27080.txt,006,0.128435
cv918_27080.txt,037,0.105858
cv918_27080.txt,010,0.068268
cv918_27080.txt,024,0.047996
cv068_14810.txt,000,0.492193
cv068_14810.txt,013,0.328263
cv068_14810.txt,024,0.105066
cv068_14810.txt,005,0.074478
cv874_12182.txt,027,0.313885
cv874_12182.txt,008,0.262304
cv874_12182.txt,010,0.261755
cv874_12182.txt,021,0.148478
cv874_12182.txt,000,0.013579
cv938_10706.txt,003,0.377432
cv938_10706.txt,008,0.306593
cv938_10706.txt,007,0.188521
